,0
read_298,0
read_301,0
read_325,0
read_327,0
read_333,0
read_334,0
read_357,0
read_361,0
read_365,0
read_376,0
read_386,0
read_387,0
read_388,0
read_391,0
read_392,0
read_395,0
read_396,0
read_397,0
read_399,0
read_400,1
read_401,1
read_402,1
read_403,0
read_405,1
read_406,1
read_408,0
read_409,0
read_410,0
read_411,1
read_412,0
read_413,1
read_414,0
read_415,0
read_416,0
read_418,0
read_420,0
read_421,1
read_422,0
read_423,1
read_424,0
read_425,1
read_426,0
read_428,0
read_429,0
read_430,1
read_431,0
read_432,1
read_434,0
read_435,1
read_436,1
read_438,0
read_439,1
read_433,0
read_441,0
read_442,0
read_443,1
read_444,1
read_445,0
read_446,0
read_447,0
read_449,0
read_450,0
read_451,1
read_452,0
read_453,0
read_454,1
read_455,1
read_456,1
read_457,1
read_458,0
read_459,1
read_461,0
read_462,0
read_463,1
read_464,1
read_465,1
read_466,0
read_467,1
read_468,0
read_469,1
read_470,0
read_471,0
read_472,0
read_474,0
read_475,1
read_476,1
read_477,1
read_478,1
read_479,0
read_480,1
read_482,0
read_483,0
read_484,1
read_485,1
read_486,1
read_487,1
read_488,0
read_491,1
