,0
read_387,0
read_406,1
read_413,1
read_423,1
read_435,1
read_441,0
read_442,0
read_444,1
read_445,0
read_446,0
read_448,1
read_451,1
read_452,0
read_454,1
read_455,1
read_456,1
read_457,1
read_459,1
read_460,0
read_461,0
read_463,1
read_465,1
read_466,0
read_475,1
read_476,1
read_480,1
read_482,0
read_483,0
read_484,1
read_485,1
read_486,1
read_487,1
read_489,0
read_490,1
read_491,1
read_492,0
read_493,0
read_494,0
read_495,0
read_497,0
read_499,1
read_500,0
read_502,1
read_503,1
read_504,0
read_505,1
read_506,0
read_508,1
read_509,1
read_510,0
read_511,1
read_512,0
read_513,1
read_514,0
read_515,1
read_516,1
read_517,0
read_518,0
read_519,1
read_520,1
read_521,1
read_522,0
read_523,0
read_524,1
read_525,0
read_526,0
read_443,0
read_469,0
read_496,0
read_498,0
read_501,0
read_527,0
read_529,0
read_530,0
read_531,0
read_532,0
read_533,0
read_534,0
read_535,0
read_536,0
read_537,0
read_538,0
read_539,0
read_540,0
read_541,0
read_542,0
read_543,0
read_544,0
read_545,0
read_548,0
read_549,0
read_550,0
read_551,0
read_552,0
